cur_id,language,sentence,word,complexity
0,english,"Behold, there came up out of the river seven cattle, sleek and fat, and they fed in the marsh grass.",river,0.0
1,english,"I am a fellow bondservant with you and with your brothers, the prophets, and with those who keep the words of this book.",brothers,0.0
2,english,"The man, the lord of the land, said to us, 'By this I will know that you are honest men: leave one of your brothers with me, and take grain for the famine of your houses, and go your way.",brothers,0.0499999999999999
3,english,"Shimei had sixteen sons and six daughters; but his brothers didn't have many children, neither did all their family multiply like the children of Judah.",brothers,0.15
4,english,Moreover Yahweh will deliver Israel also with you into the hand of the Philistines; and tomorrow you and your sons will be with me.,sons,0.1607142857142857
5,english,"The sons of Perez: Hezron, and Hamul.",sons,0.1607142857142857
6,english,"But to the sons of Kohath he gave none, because the service of the sanctuary belonged to them; they carried it on their shoulders.",sons,0.171875
7,english,"The days of our years are seventy, or even by reason of strength eighty years; yet their pride is but labor and sorrow, for it passes quickly, and we fly away.",days,0.0
8,english,"Six days you shall gather it, but on the seventh day is the Sabbath.",days,0.1805555555555555
9,english,"Seven days you shall eat unleavened bread, as I commanded you, at the time appointed in the month Abib; for in the month Abib you came out from Egypt.",days,0.25
10,english,"David said to Saul, ""Your servant was keeping his father's sheep; and when a lion or a bear came, and took a lamb out of the flock,",lion,0.0
11,english,"Your own sword has devoured your prophets, like a destroying lion.",lion,0.21875
12,english,"For the waters of Dimon are full of blood; for I will bring yet more on Dimon, a lion on those of Moab who escape, and on the remnant of the land.",lion,0.28125
13,english,"The king's wrath is like the roaring of a lion, but his favor is like dew on the grass.",lion,0.3157894736842105
14,english,"Mount Sinai, all it, smoked, because Yahweh descended on it in fire; and its smoke ascended like the smoke of a furnace, and the whole mountain quaked greatly.",fire,0.0
15,english,"They shall go forth, and look on the dead bodies of the men who have transgressed against me: for their worm shall not die, neither shall their fire be quenched; and they will be loathsome to all mankind.",fire,0.0555555555555555
16,english,"and of them shall be taken up a curse by all the captives of Judah who are in Babylon, saying, Yahweh make you like Zedekiah and like Ahab, whom the king of Babylon roasted in the fire;",fire,0.125
17,english,"But for the cowardly, unbelieving, sinners, abominable, murderers, sexually immoral, sorcerers, idolaters, and all liars, their part is in the lake that burns with fire and sulfur, which is the second death.""",fire,0.1333333333333333
18,english,"Yes, I will gather you, and blow on you with the fire of my wrath, and you shall be melted in its midst.",fire,0.3035714285714286
19,english,"He was despised, and rejected by men; a man of suffering, and acquainted with disease.",disease,0.125
20,english,Happy is everyone who retains her.,everyone,0.0
21,english,"For everyone who exalts himself will be humbled, and whoever humbles himself will be exalted.""",everyone,0.1666666666666666
22,english,"Yet will I leave seven thousand in Israel, all the knees which have not bowed to Baal, and every mouth which has not kissed him.""",knees,0.0
23,english,"When his speech is charming, don't believe him; for there are seven abominations in his heart.",speech,0.0
24,english,"Moses said to Yahweh, ""O Lord, I am not eloquent, neither before now, nor since you have spoken to your servant; for I am slow of speech, and of a slow tongue.""",speech,0.1607142857142857
25,english,His speech is like a scorching fire.,speech,0.2794117647058823
26,english,Or were you baptized into the name of Paul?,name,0.0
27,english,He who receives a prophet in the name of a prophet will receive a prophet's reward.,name,0.0499999999999999
28,english,"I have made this house holy, which you have built, to put my name there forever; and my eyes and my heart shall be there perpetually.",name,0.1607142857142857
29,english,"If another comes in his own name, you will receive him.",name,0.1764705882352941
30,english,"It is he who builds his rooms in the heavens, and has founded his vault on the earth; he who calls for the waters of the sea, and pours them out on the surface of the earth; Yahweh is his name.",name,0.2083333333333333
31,english,"For the Father judges no one, but he has given all judgment to the Son,",Father,0.0
32,english,"Jesus said, ""Father, forgive them, for they don't know what they are doing.""",Father,0.1333333333333333
33,english,Grace to you and peace from God our Father and the Lord Jesus Christ.,Father,0.2222222222222222
34,english,"The waters surrounded me, even to the soul.",waters,0.025
35,english,"For thus says the Lord Yahweh: When I shall make you a desolate city, like the cities that are not inhabited; when I shall bring up the deep on you, and the great waters shall cover you;",waters,0.0999999999999999
36,english,"Don't let the flood waters overwhelm me, neither let the deep swallow me up.",waters,0.1666666666666666
37,english,"In the time that you were broken by the seas in the depths of the waters, your merchandise and all your company fell in your midst.",waters,0.2352941176470588
38,english,"This same Hezekiah also stopped the upper spring of the waters of Gihon, and brought them straight down on the west side of the city of David.",waters,0.265625
39,english,"He sighed deeply in his spirit, and said, ""Why does this generation seek a sign?",sign,0.109375
40,english,"The priest shall lay them in order on the wood that is on the fire which is on the altar,",wood,0.025
41,english,"Yahweh will bring you, and your king whom you shall set over you, to a nation that you have not known, you nor your fathers; and there you shall serve other gods, wood and stone.",wood,0.1176470588235294
42,english,"On whatever any of them falls when they are dead, it shall be unclean; whether it is any vessel of wood, or clothing, or skin, or sack, whatever vessel it is, with which any work is done, it must be put into water, and it shall be unclean until the evening; then it will be clean.",wood,0.1607142857142857
43,english,"As for the living bird, he shall take it, and the cedar wood, and the scarlet, and the hyssop, and shall dip them and the living bird in the blood of the bird that was killed over the running water.",wood,0.234375
44,english,"Then Asa took all the silver and the gold that were left in the treasures of the house of Yahweh, and the treasures of the king's house, and delivered them into the hand of his servants; and king Asa sent them to Ben Hadad, the son of Tabrimmon, the son of Hezion, king of Syria, who lived at Damascus, saying,",gold,0.025
45,english,"and to make skillful works, to work in gold, in silver, in brass,",gold,0.0499999999999999
46,english,"But all the silver, and gold, and vessels of brass and iron, are holy to Yahweh.",gold,0.0999999999999999
47,english,His head is like the purest gold.,gold,0.2105263157894736
48,english,"Thus you were decked with gold and silver; and your clothing was of fine linen, and silk, and embroidered work; you ate fine flour, and honey, and oil; and you were exceeding beautiful, and you prospered to royal estate.",gold,0.2282608695652174
49,english,You will weep no more.,weep,0.025
50,english,"and to speak to the priests of the house of Yahweh of Armies, and to the prophets, saying, ""Should I weep in the fifth month, separating myself, as I have done these so many years?""",weep,0.2941176470588235
51,english,He brought them forth with silver and gold.,silver,0.025
52,english,"He made its pillars of silver, its bottom of gold, its seat of purple, its midst being paved with love, from the daughters of Jerusalem.",silver,0.125
53,english,All the vessels of gold and of silver were five thousand and four hundred.,silver,0.1323529411764705
54,english,For in that day everyone shall cast away his idols of silver and his idols of gold--sin which your own hands have made for you.,silver,0.234375
55,english,"Now in a large house there are not only vessels of gold and of silver, but also of wood and of clay.",silver,0.2894736842105263
56,english,But for this cause I came to this time.,cause,0.025
57,english,"Thus says Yahweh of Armies, the God of Israel: You have seen all the evil that I have brought on Jerusalem, and on all the cities of Judah; and behold, this day they are a desolation, and no man dwells therein,",cities,0.0277777777777777
58,english,"Solomon gathered chariots and horsemen: and he had one thousand four hundred chariots, and twelve thousand horsemen, that he placed in the chariot cities, and with the king at Jerusalem.",cities,0.0999999999999999
59,english,"But the men of the army whom Amaziah sent back, that they should not go with him to battle, fell on the cities of Judah, from Samaria even to Beth Horon, and struck of them three thousand, and took much spoil.",cities,0.238095238095238
60,english,"Over the king's treasures was Azmaveth the son of Adiel: and over the treasures in the fields, in the cities, and in the villages, and in the towers, was Jonathan the son of Uzziah:",cities,0.2638888888888888
61,english,"They were like the grass of the field, and like the green herb, like the grass on the housetops, and like a field before its crop has grown.",crop,0.0277777777777777
62,english,"For the land which has drunk the rain that comes often on it, and brings forth a crop suitable for them for whose sake it is also tilled, receives blessing from God;",crop,0.1666666666666666
63,english,"Neither shall you swear by your head, for you can't make one hair white or black.",hair,0.25
64,english,"Truly, Yahweh, the kings of Assyria have laid waste the nations and their lands,",kings,0.0277777777777777
65,english,"Jerusalem, and the cities of Judah, and its kings, and its princes, to make them a desolation, an astonishment, a hissing, and a curse, as it is this day;",kings,0.1428571428571428
66,english,"Your gates also shall be open continually; they shall not be shut day nor night; that men may bring to you the wealth of the nations, and their kings led captive.",kings,0.2236842105263157
67,english,"Lord, to us belongs confusion of face, to our kings, to our princes, and to our fathers, because we have sinned against you.",kings,0.2272727272727273
68,english,Joash slept with his fathers; and Jeroboam sat on his throne: and Joash was buried in Samaria with the kings of Israel.,kings,0.2352941176470588
69,english,"No one puts a piece of unshrunk cloth on an old garment; for the patch would tear away from the garment, and a worse hole is made.",cloth,0.0277777777777777
70,english,"The priest said, ""The sword of Goliath the Philistine, whom you killed in the valley of Elah, behold, it is here wrapped in a cloth behind the ephod.",cloth,0.1842105263157895
71,english,He raises his hands against his friends.,hands,0.0277777777777777
72,english,"For every head is bald, and every beard clipped: on all the hands are cuttings, and on the waist sackcloth.",hands,0.1911764705882352
73,english,"It shall happen, when you shall show this people all these words, and they shall tell you, Why has Yahweh pronounced all this great evil against us?",words,0.0499999999999999
74,english,"But to the king of Judah, who sent you to inquire of Yahweh, thus you shall tell him, ""Thus says Yahweh, the God of Israel: 'Concerning the words which you have heard,",words,0.15
75,english,"Turn your ear, and listen to the words of the wise.",words,0.203125
76,english,"When David's young men came, they spoke to Nabal according to all those words in the name of David, and ceased.",words,0.25
77,english,"The Lord Yahweh has sworn by his holiness that behold, ""The days shall come on you that they will take you away with hooks, and the last of you with fish hooks.",fish,0.2236842105263157
78,english,He who observes the wind won't sow; and he who regards the clouds won't reap.,clouds,0.0499999999999999
79,english,"Lightning and hail, snow and clouds; stormy wind, fulfilling his word;",clouds,0.2222222222222222
80,english,"He said, ""Go out, and stand on the mountain before Yahweh.""",mountain,0.0499999999999999
81,english,"Jacob offered a sacrifice in the mountain, and called his relatives to eat bread.",mountain,0.1333333333333333
82,english,"The second angel sounded, and something like a great burning mountain was thrown into the sea.",mountain,0.2647058823529411
83,english,"but have done evil above all who were before you, and have gone and made you other gods, and molten images, to provoke me to anger, and have cast me behind your back:",images,0.1710526315789473
84,english,"For they provoked him to anger with their high places, and moved him to jealousy with their engraved images.",images,0.2368421052631579
85,english,"All the people went to the house of Baal, and broke it down, and broke his altars and his images in pieces, and killed Mattan the priest of Baal before the altars.",images,0.2794117647058823
86,english,"Under him were Eden, and Miniamin, and Jeshua, and Shemaiah, Amariah, and Shecaniah, in the cities of the priests, in their office of trust, to give to their brothers by divisions, as well to the great as to the small:",trust,0.265625
87,english,and might deliver all of them who through fear of death were all their lifetime subject to bondage.,subject,0.3249999999999999
88,english,"Now therefore, if it seem good to the king, let a search be made in the king's treasure house, which is there at Babylon, whether it be so, that a decree was made of Cyrus the king to build this house of God at Jerusalem; and let the king send his pleasure to us concerning this matter.""",search,0.1666666666666666
89,english,"Then Darius the king made a decree, and search was made in the house of the archives, where the treasures were laid up in Babylon.",search,0.25
90,english,"(For only Og king of Bashan remained of the remnant of the Rephaim; behold, his bedstead was a bedstead of iron; isn't it in Rabbah of the children of Ammon?",iron,0.0499999999999999
91,english,The children of Israel cried to Yahweh: for he had nine hundred chariots of iron; and twenty years he mightily oppressed the children of Israel.,iron,0.0999999999999999
92,english,"There you shall build an altar to Yahweh your God, an altar of stones: you shall lift up no iron on them.",iron,0.15
93,english,"They with whom precious stones were found gave them to the treasure of the house of Yahweh, under the hand of Jehiel the Gershonite.",stones,0.0499999999999999
94,english,"Bring forth therefore fruits worthy of repentance, and don't begin to say among yourselves, 'We have Abraham for our father;' for I tell you that God is able to raise up children to Abraham from these stones!",stones,0.2638888888888888
95,english,He sees the place of stones.,stones,0.3421052631578947
96,english,"This is nothing else but sorrow of heart.""",nothing,0.0499999999999999
97,english,"There was nothing in the ark except the two tables which Moses put at Horeb, when Yahweh made a covenant with the children of Israel, when they came out of Egypt.",nothing,0.0499999999999999
98,english,"Behold, you have made the heavens and the earth by your great power and by your outstretched arm; there is nothing too hard for you,",nothing,0.1388888888888889
99,english,"You shall not sow your vineyard with two kinds of seed, lest the whole fruit be forfeited, the seed which you have sown, and the increase of the vineyard.",fruit,0.0499999999999999
100,english,"therefore, behold, I will deliver you to the children of the east for a possession, and they shall set their encampments in you, and make their dwellings in you; they shall eat your fruit, and they shall drink your milk.",fruit,0.0833333333333333
101,english,"But I tell you that I will not drink of this fruit of the vine from now on, until that day when I drink it anew with you in my Father's Kingdom.""",fruit,0.175
102,english,"But it was plucked up in fury, it was cast down to the ground, and the east wind dried up its fruit: its strong rods were broken off and withered; the fire consumed them.",fruit,0.25
